iter,fasan PCC,fasan MAE,shoulian PCC,shoulian MAE
10,0.8887598649099588,184.47342043223279,0.9586757650686903,132.05459580231062
20,0.878204203071897,191.20335634507518,0.9663530973441822,117.76039882400049
30,0.87298106407125,194.1496253234,0.9712223916653207,108.49295916061287
40,0.8697021648512909,195.78670920272071,0.9733817898314766,104.52403827128141
50,0.86583837824647,197.67483618201655,0.9743944315222383,102.29979213389248
60,0.8622684823144767,199.2657977326687,0.9751079582842097,100.69548371291913
70,0.8575694518198682,201.23860977382475,0.975890971024938,98.94224185331376
80,0.8554822165557897,202.02716529802765,0.9763577881446279,97.8531887372066
90,0.8520427277571224,203.3275020275514,0.9767504469390018,96.95543884511494
100,0.8502859937458729,203.98221386304442,0.9771733975721957,96.00922266886818
110,0.8481606512608499,204.75633337820358,0.9775305778903749,95.20276064305074
120,0.8464128712714933,205.39202917297442,0.9778367523817476,94.50258083720335
130,0.843922882429504,206.30290220479162,0.9781453530432116,93.79111814132088
140,0.8422329926218626,206.95636424285337,0.9784022398409343,93.20820222755849
150,0.8408556885488242,207.4602389602745,0.9786481422739897,92.63074141949603
160,0.8390898845325033,208.13800911243504,0.9788926999061277,92.06001216857815
170,0.8379528253216023,208.54505134691152,0.9790807611715268,91.61767691641896
180,0.836523341063355,209.09697067291788,0.9793175629432278,91.04439930773677
190,0.8345182202491068,209.85654879333893,0.9794947109210771,90.62087702005323
200,0.8337221637214457,210.17961196448618,0.9796747156773633,90.17714291029618
210,0.8322027987997778,210.76981602051288,0.9798641143070068,89.7111489884459
220,0.830624753456814,211.39146388128987,0.9800055850266246,89.36241311800138
230,0.8294147957896899,211.87248734258537,0.9801973984550847,88.87855126800919
240,0.8286747041085983,212.17017963817494,0.9803260438915659,88.55789674685477
250,0.8274968753654087,212.6385259224177,0.980497433675817,88.12141208447414
260,0.8263977739676561,213.08344398154347,0.9806140731867521,87.82130714526056
270,0.825448623268433,213.46519567954223,0.9807529319373398,87.4676724012226
280,0.8241541857655835,213.99564875543854,0.980867881129185,87.16759938089828
290,0.8235089991031074,214.25607088206817,0.9809935552465978,86.8428108900541
300,0.8229331378806236,214.49262690477022,0.9811097667727702,86.54245898115131
